top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
o,b,x,x,b,x,o,o,x,positive
o,x,b,o,x,o,x,x,b,positive
x,b,o,x,x,o,x,o,b,positive
o,b,x,x,x,o,x,b,o,positive
x,b,b,b,x,o,b,o,x,positive
b,o,b,o,b,b,x,x,x,positive
o,b,x,o,x,x,b,o,x,positive
x,o,o,b,x,o,b,x,x,positive
o,x,b,o,x,b,b,x,b,positive
o,b,b,b,b,o,x,x,x,positive
x,x,x,o,o,b,b,o,x,positive
x,x,o,b,x,b,o,o,x,positive
x,b,o,x,o,b,x,o,x,positive
o,x,x,o,x,o,x,b,b,positive
x,x,x,o,x,o,o,b,b,positive
o,o,b,x,x,x,b,x,o,positive
x,x,x,o,x,o,o,x,o,positive
o,x,x,b,x,o,o,x,b,positive
b,x,o,x,x,x,b,o,o,positive
b,x,b,o,x,o,b,x,b,positive
x,x,x,o,x,o,x,o,o,positive
b,b,x,o,x,b,x,b,o,positive
x,o,x,o,x,b,x,o,b,positive
x,o,b,b,x,o,o,x,x,positive
x,o,x,o,x,o,x,x,o,positive
b,x,b,o,x,o,o,x,x,positive
b,o,x,b,o,o,x,x,x,positive
b,o,b,x,o,o,x,x,x,positive
o,o,x,b,x,x,o,b,x,positive
b,o,x,o,b,x,x,o,x,positive
x,o,o,o,x,o,x,x,x,positive
b,x,x,b,x,o,x,o,o,positive
x,b,o,x,b,o,x,b,b,positive
b,x,o,b,x,b,b,x,o,positive
x,b,b,o,x,b,o,b,x,positive
x,b,b,o,x,x,o,o,x,positive
x,o,b,x,x,b,o,o,x,positive
b,o,x,o,x,b,x,o,x,positive
o,o,x,b,b,x,b,b,x,positive
o,o,x,x,x,x,b,b,o,positive
b,o,x,o,x,x,b,o,x,positive
o,x,x,b,x,o,b,x,o,positive
b,b,b,o,b,o,x,x,x,positive
x,x,x,b,b,o,b,b,o,positive
x,x,o,o,o,o,x,x,b,negative
o,x,b,o,o,x,x,x,o,negative
x,x,o,x,x,o,b,o,o,negative
o,o,x,o,x,x,o,x,b,negative
x,x,o,x,o,b,o,b,b,negative
o,x,b,o,x,b,o,b,x,negative
x,x,o,x,o,b,o,x,o,negative
o,x,x,b,o,b,b,x,o,negative
o,o,o,x,o,x,x,x,b,negative
x,x,o,b,x,x,o,o,o,negative
o,b,x,o,x,x,o,x,o,negative
x,o,x,x,o,b,b,o,b,negative
o,x,x,o,o,x,b,x,o,negative
b,b,o,x,b,o,x,x,o,negative
x,o,x,o,o,x,x,o,b,negative
b,o,x,b,o,x,x,o,b,negative
o,b,x,x,o,x,x,o,o,negative
o,x,x,x,o,x,b,o,o,negative
o,o,x,x,o,x,b,x,o,negative
o,x,b,x,o,o,x,x,o,negative
x,x,o,x,o,x,o,o,b,negative
b,x,x,o,o,o,o,x,x,negative
b,o,x,x,o,b,x,o,b,negative
b,o,b,x,o,x,x,o,b,negative
o,o,o,b,b,x,x,b,x,negative
x,o,b,b,o,x,x,o,b,negative
o,b,b,x,o,x,b,x,o,negative
x,x,o,b,o,x,o,x,o,negative
b,x,x,o,o,o,b,b,x,negative
o,x,b,x,x,x,o,x,o,negative
x,x,o,b,b,o,b,b,x,negative
x,b,b,b,b,b,x,x,b,negative
x,x,o,x,x,x,x,o,x,negative
b,o,x,o,x,b,o,x,o,negative
x,o,o,x,x,x,o,x,b,negative
o,x,o,o,o,x,o,x,x,negative
o,o,x,b,b,o,o,b,b,negative
b,x,o,x,x,o,b,o,x,negative
o,b,o,o,b,b,o,x,x,negative
x,x,o,b,o,o,b,x,x,negative
b,o,b,b,o,x,b,o,o,negative
x,b,o,o,x,b,b,x,x,negative
b,x,x,b,o,b,b,b,x,negative
o,o,o,o,b,b,x,x,x,negative
o,x,x,o,x,b,x,o,b,ongoing
b,o,x,x,x,o,o,x,b,ongoing
o,x,o,x,b,x,o,x,b,ongoing
b,o,o,x,x,x,b,o,x,ongoing
o,b,x,x,o,x,b,x,o,ongoing
b,o,x,o,x,x,x,o,b,ongoing
x,b,x,o,o,x,b,x,o,ongoing
o,x,x,b,o,b,o,x,x,ongoing
x,o,o,x,b,o,x,b,x,ongoing
x,b,o,b,x,o,b,b,x,ongoing
b,o,x,x,b,b,o,b,o,ongoing
x,b,o,b,o,b,x,b,o,ongoing
b,b,x,o,x,o,b,b,x,ongoing
x,b,o,b,o,b,x,o,b,ongoing
b,o,x,b,x,b,b,o,b,ongoing
x,b,o,b,x,b,o,b,x,ongoing
o,b,x,x,b,b,o,b,o,ongoing
x,b,o,b,x,b,b,o,b,ongoing
b,o,x,b,o,b,x,b,o,ongoing
b,x,b,o,x,o,b,x,b,ongoing
o,b,x,b,b,o,x,b,o,ongoing
b,o,x,b,x,o,b,x,b,ongoing
o,b,b,x,o,x,b,b,x,ongoing
x,b,o,b,b,x,o,b,x,ongoing
o,b,x,x,b,o,b,b,x,ongoing
b,o,x,b,b,x,o,b,x,ongoing
b,x,b,o,x,b,b,o,x,ongoing
o,b,x,b,x,o,b,b,x,ongoing
x,b,o,b,x,b,o,b,o,ongoing
b,x,b,o,x,o,b,b,x,ongoing
x,b,o,b,o,x,b,o,b,ongoing
x,b,o,b,o,b,x,b,x,ongoing
o,b,x,b,o,x,b,b,o,ongoing
o,b,x,x,b,b,o,b,x,ongoing
x,b,o,b,x,o,b,b,o,ongoing
x,b,x,o,b,b,x,b,o,ongoing
o,b,b,x,b,o,x,b,x,ongoing
b,o,x,b,x,o,b,b,x,ongoing
o,b,b,x,b,x,o,b,o,ongoing
b,x,b,o,b,x,o,b,x,ongoing
o,b,x,b,o,x,b,b,x,ongoing
x,b,o,b,b,o,x,o,b,ongoing
b,o,b,x,b,o,x,b,o,ongoing
o,b,b,x,o,x,b,b,o,ongoing
o,o,x,x,x,o,x,o,o,tied
x,o,x,x,o,x,o,x,o,tied
x,o,o,o,x,x,x,o,x,tied
o,o,x,x,x,o,o,o,x,tied